Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1522,439 m,4 m,0:00:11,1.4 km/h,130.5° true,6/16/2023 15:14,N36° 31.912' E32° 18.935'
1523,438 m,1 m,0:00:12,0.3 km/h,166.0° true,6/16/2023 15:15,N36° 31.911' E32° 18.938'
1524,437 m,2 m,0:00:10,0.8 km/h,300.1° true,6/16/2023 15:15,N36° 31.910' E32° 18.938'
1525,437 m,1 m,0:00:11,0.4 km/h,225.3° true,6/16/2023 15:15,N36° 31.911' E32° 18.936'
1526,436 m,6 m,0:00:12,1.7 km/h,155.8° true,6/16/2023 15:15,N36° 31.910' E32° 18.936'
1527,436 m,2 m,0:00:10,0.7 km/h,161.7° true,6/16/2023 15:15,N36° 31.908' E32° 18.937'
1528,435 m,6 m,0:00:12,1.8 km/h,329.2° true,6/16/2023 15:15,N36° 31.907' E32° 18.938'
1529,434 m,4 m,0:00:10,1.4 km/h,328.2° true,6/16/2023 15:16,N36° 31.909' E32° 18.936'
1530,434 m,7 m,0:00:21,1.2 km/h,127.7° true,6/16/2023 15:16,N36° 31.911' E32° 18.934'
1531,434 m,5 m,0:00:10,1.6 km/h,126.3° true,6/16/2023 15:16,N36° 31.909' E32° 18.938'
1532,434 m,4 m,0:00:09,1.4 km/h,127.5° true,6/16/2023 15:16,N36° 31.907' E32° 18.940'
1533,435 m,3 m,0:00:09,1.0 km/h,317.4° true,6/16/2023 15:17,N36° 31.906' E32° 18.942'
1534,436 m,2 m,0:00:09,0.6 km/h,331.7° true,6/16/2023 15:17,N36° 31.907' E32° 18.941'
1535,436 m,1 m,0:00:04,0.7 km/h,336.8° true,6/16/2023 15:17,N36° 31.908' E32° 18.941'
1536,436 m,1 m,0:00:02,2.2 km/h,51.0° true,6/16/2023 15:17,N36° 31.908' E32° 18.940'
1537,436 m,4 m,0:00:10,1.6 km/h,138.6° true,6/16/2023 15:17,N36° 31.909' E32° 18.941'
1538,433 m,5 m,0:00:13,1.4 km/h,270.7° true,6/16/2023 15:17,N36° 31.907' E32° 18.943'
1539,433 m,11 m,0:00:07,6 km/h,314.3° true,6/16/2023 15:17,N36° 31.907' E32° 18.940'
1540,432 m,12 m,0:00:08,5 km/h,294.8° true,6/16/2023 15:17,N36° 31.911' E32° 18.934'
1541,432 m,1 m,0:00:03,1.3 km/h,191.7° true,6/16/2023 15:18,N36° 31.914' E32° 18.927'
1542,432 m,7 m,0:00:10,2.5 km/h,238.0° true,6/16/2023 15:18,N36° 31.913' E32° 18.927'
1543,432 m,1 m,0:00:10,0.4 km/h,157.1° true,6/16/2023 15:18,N36° 31.911' E32° 18.923'
1544,432 m,7 m,0:00:07,3.6 km/h,315.2° true,6/16/2023 15:18,N36° 31.911' E32° 18.923'
1545,432 m,30 m,0:00:11,10 km/h,313.0° true,6/16/2023 15:18,N36° 31.914' E32° 18.920'
1546,432 m,8 m,0:00:10,2.8 km/h,311.5° true,6/16/2023 15:18,N36° 31.924' E32° 18.905'
1547,433 m,9 m,0:00:11,3.0 km/h,299.7° true,6/16/2023 15:18,N36° 31.927' E32° 18.901'
1548,433 m,9 m,0:00:15,2.1 km/h,319.1° true,6/16/2023 15:19,N36° 31.930' E32° 18.896'
1549,433 m,12 m,0:00:08,5 km/h,161.6° true,6/16/2023 15:19,N36° 31.933' E32° 18.892'
1550,433 m,20 m,0:00:07,10 km/h,152.3° true,6/16/2023 15:19,N36° 31.927' E32° 18.894'
1551,433 m,6 m,0:00:04,5 km/h,171.9° true,6/16/2023 15:19,N36° 31.918' E32° 18.901'
1552,433 m,6 m,0:00:06,3.3 km/h,202.7° true,6/16/2023 15:19,N36° 31.915' E32° 18.901'
1553,433 m,6 m,0:00:07,3.0 km/h,214.4° true,6/16/2023 15:19,N36° 31.912' E32° 18.900'
1554,434 m,4 m,0:00:05,2.8 km/h,205.9° true,6/16/2023 15:19,N36° 31.909' E32° 18.897'
1555,434 m,11 m,0:00:07,5 km/h,177.5° true,6/16/2023 15:19,N36° 31.908' E32° 18.896'
1556,434 m,13 m,0:00:08,6 km/h,174.1° true,6/16/2023 15:20,N36° 31.902' E32° 18.897'
1557,433 m,6 m,0:00:07,3.0 km/h,189.7° true,6/16/2023 15:20,N36° 31.895' E32° 18.898'
1558,434 m,7 m,0:00:10,2.6 km/h,237.2° true,6/16/2023 15:20,N36° 31.892' E32° 18.897'
1559,437 m,6 m,0:00:08,2.5 km/h,198.1° true,6/16/2023 15:20,N36° 31.890' E32° 18.893'
1560,440 m,14 m,0:00:17,3.0 km/h,190.8° true,6/16/2023 15:20,N36° 31.887' E32° 18.892'
1561,443 m,8 m,0:00:05,6 km/h,202.4° true,6/16/2023 15:20,N36° 31.879' E32° 18.890'
1562,443 m,3 m,0:00:02,5 km/h,222.1° true,6/16/2023 15:20,N36° 31.875' E32° 18.888'
1563,443 m,7 m,0:00:06,4.1 km/h,201.0° true,6/16/2023 15:21,N36° 31.874' E32° 18.886'
1564,444 m,6 m,0:00:04,6 km/h,188.2° true,6/16/2023 15:21,N36° 31.871' E32° 18.885'
1565,445 m,2 m,0:00:02,4.1 km/h,204.0° true,6/16/2023 15:21,N36° 31.867' E32° 18.884'
1566,445 m,14 m,0:00:10,5 km/h,199.7° true,6/16/2023 15:21,N36° 31.866' E32° 18.884'
1567,447 m,1 m,0:00:01,4.2 km/h,201.2° true,6/16/2023 15:21,N36° 31.859' E32° 18.880'
1568,447 m,4 m,0:00:05,3.0 km/h,207.3° true,6/16/2023 15:21,N36° 31.858' E32° 18.880'
1569,448 m,2 m,0:00:02,4.4 km/h,235.6° true,6/16/2023 15:21,N36° 31.856' E32° 18.879'
1570,448 m,6 m,0:00:05,4.4 km/h,198.8° true,6/16/2023 15:21,N36° 31.856' E32° 18.877'
1571,449 m,12 m,0:00:09,5 km/h,151.6° true,6/16/2023 15:21,N36° 31.853' E32° 18.876'
1572,452 m,12 m,0:00:09,5 km/h,148.3° true,6/16/2023 15:21,N36° 31.847' E32° 18.880'
1573,456 m,10 m,0:00:09,4.1 km/h,164.1° true,6/16/2023 15:21,N36° 31.842' E32° 18.884'
1574,459 m,2 m,0:00:02,3.6 km/h,170.9° true,6/16/2023 15:22,N36° 31.836' E32° 18.886'
1575,460 m,20 m,0:00:10,7 km/h,163.1° true,6/16/2023 15:22,N36° 31.835' E32° 18.886'
1576,463 m,6 m,0:00:06,3.4 km/h,188.3° true,6/16/2023 15:22,N36° 31.825' E32° 18.890'
1577,465 m,9 m,0:00:16,2.1 km/h,228.0° true,6/16/2023 15:22,N36° 31.822' E32° 18.889'
1578,471 m,16 m,0:00:10,6 km/h,183.4° true,6/16/2023 15:22,N36° 31.819' E32° 18.885'
1579,472 m,12 m,0:00:08,5 km/h,162.0° true,6/16/2023 15:22,N36° 31.810' E32° 18.884'
1580,472 m,7 m,0:00:07,3.8 km/h,199.6° true,6/16/2023 15:22,N36° 31.804' E32° 18.887'
1581,475 m,7 m,0:00:08,3.3 km/h,222.1° true,6/16/2023 15:23,N36° 31.800' E32° 18.885'
1582,477 m,20 m,0:00:11,7 km/h,267.7° true,6/16/2023 15:23,N36° 31.797' E32° 18.882'
1583,482 m,11 m,0:00:05,8 km/h,262.7° true,6/16/2023 15:23,N36° 31.797' E32° 18.868'
1584,484 m,24 m,0:00:11,8 km/h,279.9° true,6/16/2023 15:23,N36° 31.796' E32° 18.861'
1585,483 m,21 m,0:00:11,7 km/h,182.4° true,6/16/2023 15:23,N36° 31.798' E32° 18.845'
1586,471 m,3 m,0:00:02,6 km/h,242.5° true,6/16/2023 15:23,N36° 31.787' E32° 18.845'
1587,469 m,14 m,0:00:08,6 km/h,185.0° true,6/16/2023 15:23,N36° 31.787' E32° 18.843'
1588,459 m,4 m,0:00:03,4.3 km/h,210.4° true,6/16/2023 15:23,N36° 31.779' E32° 18.842'
1589,454 m,7 m,0:00:07,3.7 km/h,146.6° true,6/16/2023 15:24,N36° 31.777' E32° 18.841'
1590,444 m,9 m,0:00:12,2.7 km/h,210.0° true,6/16/2023 15:24,N36° 31.774' E32° 18.843'
1591,433 m,9 m,0:00:08,4.1 km/h,196.5° true,6/16/2023 15:24,N36° 31.770' E32° 18.840'
1592,427 m,13 m,0:00:11,4.2 km/h,195.9° true,6/16/2023 15:24,N36° 31.765' E32° 18.839'
1593,419 m,16 m,0:00:13,4.3 km/h,197.8° true,6/16/2023 15:24,N36° 31.759' E32° 18.836'
1594,409 m,11 m,0:00:11,3.7 km/h,201.1° true,6/16/2023 15:24,N36° 31.751' E32° 18.833'
1595,402 m,14 m,0:00:12,4.1 km/h,188.4° true,6/16/2023 15:25,N36° 31.745' E32° 18.830'
1596,398 m,3 m,0:00:03,4.0 km/h,243.5° true,6/16/2023 15:25,N36° 31.738' E32° 18.829'
1597,398 m,11 m,0:00:08,5 km/h,173.3° true,6/16/2023 15:25,N36° 31.737' E32° 18.827'
1598,397 m,3 m,0:00:04,3.0 km/h,234.1° true,6/16/2023 15:25,N36° 31.731' E32° 18.828'
1599,397 m,6 m,0:00:05,4.2 km/h,185.3° true,6/16/2023 15:25,N36° 31.730' E32° 18.826'
1600,396 m,4 m,0:00:04,3.4 km/h,239.6° true,6/16/2023 15:25,N36° 31.727' E32° 18.826'
1601,396 m,4 m,0:00:04,3.3 km/h,213.7° true,6/16/2023 15:25,N36° 31.726' E32° 18.824'
1602,396 m,7 m,0:00:05,5 km/h,187.3° true,6/16/2023 15:25,N36° 31.724' E32° 18.822'
1603,396 m,7 m,0:00:06,4.1 km/h,222.7° true,6/16/2023 15:25,N36° 31.721' E32° 18.822'
1604,396 m,10 m,0:00:10,3.5 km/h,196.4° true,6/16/2023 15:25,N36° 31.718' E32° 18.819'
1605,397 m,3 m,0:00:03,4.0 km/h,184.9° true,6/16/2023 15:26,N36° 31.713' E32° 18.817'
