Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
174;444 м;111 м;0:00:12;33 км/ч;178.9° истина;20.03.2026 13:57;N55.18862° E59.63104°;
175;445 м;30 м;0:00:04;27 км/ч;166.6° истина;20.03.2026 13:58;N55.18762° E59.63107°;
176;445 м;78 м;0:00:10;28 км/ч;158.2° истина;20.03.2026 13:58;N55.18735° E59.63118°;
177;447 м;116 м;0:00:11;38 км/ч;129.5° истина;20.03.2026 13:58;N55.18671° E59.63163°;
178;454 м;147 м;0:00:14;38 км/ч;122.3° истина;20.03.2026 13:58;N55.18604° E59.63304°;
179;468 м;137 м;0:00:13;38 км/ч;114.7° истина;20.03.2026 13:58;N55.18534° E59.63499°;
180;483 м;88 м;0:00:10;32 км/ч;98.6° истина;20.03.2026 13:58;N55.18482° E59.63695°;
181;487 м;26 м;0:00:05;19 км/ч;96.0° истина;20.03.2026 13:59;N55.18471° E59.63832°;
182;487 м;75 м;0:00:12;22 км/ч;99.8° истина;20.03.2026 13:59;N55.18468° E59.63873°;
183;488 м;23 м;0:00:03;28 км/ч;99.4° истина;20.03.2026 13:59;N55.18457° E59.63989°;
184;489 м;51 м;0:00:08;23 км/ч;102.4° истина;20.03.2026 13:59;N55.18453° E59.64025°;
185;492 м;28 м;0:00:06;17 км/ч;154.4° истина;20.03.2026 13:59;N55.18443° E59.64103°;
186;494 м;80 м;0:00:12;24 км/ч;190.7° истина;20.03.2026 13:59;N55.18420° E59.64123°;
187;495 м;79 м;0:00:13;22 км/ч;189.4° истина;20.03.2026 13:59;N55.18350° E59.64099°;
188;495 м;73 м;0:00:15;17 км/ч;183.1° истина;20.03.2026 14:00;N55.18280° E59.64079°;
189;494 м;1 м;0:00:17;0.2 км/ч;96.9° истина;20.03.2026 14:00;N55.18214° E59.64073°;
190;495 м;2 м;0:00:05;1.8 км/ч;115.9° истина;20.03.2026 14:00;N55.18214° E59.64075°;
191;495 м;12 м;0:00:04;11 км/ч;109.3° истина;20.03.2026 14:00;N55.18213° E59.64078°;
192;494 м;33 м;0:00:05;24 км/ч;97.1° истина;20.03.2026 14:00;N55.18210° E59.64096°;
193;492 м;119 м;0:00:11;39 км/ч;106.1° истина;20.03.2026 14:00;N55.18206° E59.64147°;
194;480 м;45 м;0:00:05;32 км/ч;109.9° истина;20.03.2026 14:01;N55.18176° E59.64327°;
195;473 м;21 м;0:00:02;37 км/ч;114.7° истина;20.03.2026 14:01;N55.18163° E59.64394°;
196;470 м;120 м;0:00:10;43 км/ч;133.3° истина;20.03.2026 14:01;N55.18155° E59.64423°;
197;456 м;82 м;0:00:08;37 км/ч;135.3° истина;20.03.2026 14:01;N55.18081° E59.64560°;
198;447 м;41 м;0:00:07;21 км/ч;89.0° истина;20.03.2026 14:01;N55.18029° E59.64651°;
199;441 м;120 м;0:00:12;36 км/ч;45.8° истина;20.03.2026 14:01;N55.18029° E59.64716°;
200;427 м;44 м;0:00:04;40 км/ч;44.9° истина;20.03.2026 14:01;N55.18105° E59.64851°;
201;422 м;48 м;0:00:06;29 км/ч;90.7° истина;20.03.2026 14:01;N55.18133° E59.64900°;
202;414 м;9 м;0:00:01;33 км/ч;132.0° истина;20.03.2026 14:01;N55.18132° E59.64976°;
203;413 м;81 м;0:00:11;27 км/ч;138.8° истина;20.03.2026 14:01;N55.18127° E59.64986°;
204;413 м;68 м;0:00:11;22 км/ч;136.5° истина;20.03.2026 14:02;N55.18072° E59.65071°;
205;413 м;105 м;0:00:14;27 км/ч;135.7° истина;20.03.2026 14:02;N55.18027° E59.65145°;
206;412 м;84 м;0:00:09;34 км/ч;137.8° истина;20.03.2026 14:02;N55.17960° E59.65260°;
207;411 м;166 м;0:00:16;37 км/ч;135.4° истина;20.03.2026 14:02;N55.17904° E59.65349°;
208;408 м;47 м;0:00:05;34 км/ч;122.7° истина;20.03.2026 14:02;N55.17798° E59.65532°;
209;408 м;54 м;0:00:09;22 км/ч;106.6° истина;20.03.2026 14:03;N55.17775° E59.65594°;
210;412 м;30 м;0:00:05;22 км/ч;92.9° истина;20.03.2026 14:03;N55.17761° E59.65676°;
211;412 м;29 м;0:00:10;10 км/ч;93.0° истина;20.03.2026 14:03;N55.17760° E59.65724°;
212;416 м;0 м;0:00:23;0.0 км/ч;93.7° истина;20.03.2026 14:03;N55.17758° E59.65769°;
213;418 м;9 м;0:00:08;4.0 км/ч;80.2° истина;20.03.2026 14:03;N55.17758° E59.65769°;
214;418 м;78 м;0:00:07;40 км/ч;82.7° истина;20.03.2026 14:03;N55.17760° E59.65783°;
215;419 м;171 м;0:00:14;44 км/ч;86.1° истина;20.03.2026 14:04;N55.17769° E59.65904°;
216;413 м;112 м;0:00:11;37 км/ч;86.6° истина;20.03.2026 14:04;N55.17779° E59.66173°;
217;410 м;143 м;0:00:16;32 км/ч;86.6° истина;20.03.2026 14:04;N55.17785° E59.66349°;
218;411 м;80 м;0:00:13;22 км/ч;85.4° истина;20.03.2026 14:04;N55.17792° E59.66574°;
219;412 м;60 м;0:00:12;18 км/ч;86.2° истина;20.03.2026 14:04;N55.17798° E59.66700°;
220;411 м;47 м;0:00:12;14 км/ч;83.6° истина;20.03.2026 14:05;N55.17802° E59.66793°;
221;413 м;32 м;0:00:05;23 км/ч;85.4° истина;20.03.2026 14:05;N55.17806° E59.66866°;
222;415 м;36 м;0:00:07;18 км/ч;136.0° истина;20.03.2026 14:05;N55.17809° E59.66915°;
223;414 м;14 м;0:00:02;25 км/ч;165.3° истина;20.03.2026 14:05;N55.17786° E59.66954°;
224;413 м;114 м;0:00:12;34 км/ч;173.7° истина;20.03.2026 14:05;N55.17774° E59.66960°;
225;419 м;160 м;0:00:15;38 км/ч;171.7° истина;20.03.2026 14:05;N55.17672° E59.66979°;
226;427 м;163 м;0:00:16;37 км/ч;171.0° истина;20.03.2026 14:06;N55.17530° E59.67016°;
227;430 м;51 м;0:00:05;37 км/ч;174.1° истина;20.03.2026 14:06;N55.17386° E59.67056°;
228;427 м;38 м;0:00:06;23 км/ч;121.6° истина;20.03.2026 14:06;N55.17340° E59.67064°;
229;423 м;24 м;0:00:03;28 км/ч;88.0° истина;20.03.2026 14:06;N55.17323° E59.67114°;
230;422 м;38 м;0:00:05;27 км/ч;119.4° истина;20.03.2026 14:06;N55.17323° E59.67151°;
