Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
771,805 m,411 m,0:00:04,369 km/h,269.4° true,4/14/2022 6:00,N39° 37.132' E64° 29.153'
772,793 m,403 m,0:00:04,362 km/h,275.9° true,4/14/2022 6:00,N39° 37.129' E64° 28.866'
773,789 m,392 m,0:00:04,352 km/h,282.7° true,4/14/2022 6:01,N39° 37.152' E64° 28.585'
774,787 m,382 m,0:00:04,344 km/h,289.0° true,4/14/2022 6:01,N39° 37.198' E64° 28.318'
775,788 m,369 m,0:00:04,332 km/h,297.8° true,4/14/2022 6:01,N39° 37.265' E64° 28.065'
776,791 m,270 m,0:00:03,324 km/h,305.9° true,4/14/2022 6:01,N39° 37.358' E64° 27.837'
777,791 m,262 m,0:00:03,315 km/h,312.9° true,4/14/2022 6:01,N39° 37.443' E64° 27.684'
778,791 m,257 m,0:00:03,308 km/h,320.3° true,4/14/2022 6:01,N39° 37.539' E64° 27.549'
779,790 m,336 m,0:00:04,303 km/h,326.3° true,4/14/2022 6:01,N39° 37.646' E64° 27.435'
780,784 m,331 m,0:00:04,298 km/h,334.0° true,4/14/2022 6:01,N39° 37.797' E64° 27.304'
781,774 m,329 m,0:00:04,296 km/h,342.1° true,4/14/2022 6:01,N39° 37.957' E64° 27.203'
782,761 m,246 m,0:00:03,296 km/h,349.8° true,4/14/2022 6:01,N39° 38.126' E64° 27.132'
783,752 m,248 m,0:00:03,298 km/h,357.1° true,4/14/2022 6:01,N39° 38.256' E64° 27.102'
784,743 m,331 m,0:00:04,298 km/h,2.5° true,4/14/2022 6:01,N39° 38.390' E64° 27.093'
785,734 m,498 m,0:00:06,299 km/h,6.5° true,4/14/2022 6:01,N39° 38.568' E64° 27.103'
786,717 m,667 m,0:00:08,300 km/h,9.0° true,4/14/2022 6:01,N39° 38.834' E64° 27.142'
787,699 m,1.0 km,0:00:12,302 km/h,10.6° true,4/14/2022 6:01,N39° 39.189' E64° 27.215'
788,679 m,1.0 km,0:00:12,303 km/h,10.6° true,4/14/2022 6:02,N39° 39.723' E64° 27.345'
789,658 m,1.1 km,0:00:13,303 km/h,10.2° true,4/14/2022 6:02,N39° 40.259' E64° 27.475'
790,654 m,734 m,0:00:09,293 km/h,10.7° true,4/14/2022 6:02,N39° 40.840' E64° 27.611'
791,654 m,889 m,0:00:11,291 km/h,10.8° true,4/14/2022 6:02,N39° 41.228' E64° 27.706'
792,628 m,628 m,0:00:08,282 km/h,10.3° true,4/14/2022 6:02,N39° 41.699' E64° 27.823'
793,595 m,846 m,0:00:11,277 km/h,10.0° true,4/14/2022 6:03,N39° 42.032' E64° 27.902'
794,552 m,910 m,0:00:12,273 km/h,9.9° true,4/14/2022 6:03,N39° 42.481' E64° 28.005'
795,509 m,744 m,0:00:10,268 km/h,10.6° true,4/14/2022 6:03,N39° 42.964' E64° 28.114'
796,469 m,660 m,0:00:09,264 km/h,10.5° true,4/14/2022 6:03,N39° 43.358' E64° 28.210'
797,433 m,586 m,0:00:08,264 km/h,9.3° true,4/14/2022 6:03,N39° 43.708' E64° 28.294'
798,402 m,731 m,0:00:10,263 km/h,9.4° true,4/14/2022 6:03,N39° 44.020' E64° 28.360'
799,362 m,732 m,0:00:10,263 km/h,10.0° true,4/14/2022 6:04,N39° 44.409' E64° 28.444'
800,328 m,725 m,0:00:10,261 km/h,11.0° true,4/14/2022 6:04,N39° 44.797' E64° 28.533'
801,287 m,647 m,0:00:09,259 km/h,9.6° true,4/14/2022 6:04,N39° 45.181' E64° 28.631'
802,256 m,638 m,0:00:09,255 km/h,10.2° true,4/14/2022 6:04,N39° 45.524' E64° 28.707'
803,226 m,546 m,0:00:08,246 km/h,10.0° true,4/14/2022 6:04,N39° 45.863' E64° 28.786'
804,220 m,303 m,0:00:05,218 km/h,9.9° true,4/14/2022 6:04,N39° 46.153' E64° 28.852'
