Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
86;227 м;139 м;0:00:10;50 км/ч;152.3° истина;22.03.2026 13:39;N56.73071° E60.70906°;
87;227 м;230 м;0:00:12;69 км/ч;154.4° истина;22.03.2026 13:39;N56.72960° E60.71012°;
88;225 м;336 м;0:00:18;67 км/ч;159.3° истина;22.03.2026 13:39;N56.72774° E60.71174°;
89;231 м;261 м;0:00:14;67 км/ч;162.4° истина;22.03.2026 13:39;N56.72492° E60.71368°;
90;233 м;223 м;0:00:12;67 км/ч;159.3° истина;22.03.2026 13:40;N56.72268° E60.71497°;
91;231 м;222 м;0:00:12;67 км/ч;157.8° истина;22.03.2026 13:40;N56.72081° E60.71626°;
92;229 м;262 м;0:00:14;67 км/ч;149.5° истина;22.03.2026 13:40;N56.71896° E60.71763°;
93;226 м;186 м;0:00:10;67 км/ч;137.3° истина;22.03.2026 13:40;N56.71694° E60.71981°;
94;226 м;296 м;0:00:16;67 км/ч;131.8° истина;22.03.2026 13:40;N56.71571° E60.72187°;
95;225 м;335 м;0:00:18;67 км/ч;132.1° истина;22.03.2026 13:41;N56.71393° E60.72549°;
96;221 м;333 м;0:00:18;67 км/ч;130.9° истина;22.03.2026 13:41;N56.71192° E60.72956°;
97;221 м;280 м;0:00:15;67 км/ч;124.6° истина;22.03.2026 13:41;N56.70996° E60.73369°;
98;220 м;298 м;0:00:16;67 км/ч;122.1° истина;22.03.2026 13:42;N56.70853° E60.73746°;
99;219 м;276 м;0:00:15;66 км/ч;128.5° истина;22.03.2026 13:42;N56.70710° E60.74159°;
100;221 м;223 м;0:00:12;67 км/ч;143.1° истина;22.03.2026 13:42;N56.70556° E60.74513°;
101;219 м;206 м;0:00:11;68 км/ч;159.0° истина;22.03.2026 13:42;N56.70396° E60.74732°;
102;221 м;280 м;0:00:15;67 км/ч;168.6° истина;22.03.2026 13:42;N56.70223° E60.74853°;
103;226 м;276 м;0:00:15;66 км/ч;171.3° истина;22.03.2026 13:43;N56.69976° E60.74944°;
104;234 м;185 м;0:00:10;67 км/ч;156.6° истина;22.03.2026 13:43;N56.69732° E60.75012°;
105;236 м;173 м;0:00:09;69 км/ч;138.9° истина;22.03.2026 13:43;N56.69579° E60.75132°;
106;239 м;199 м;0:00:10;71 км/ч;123.0° истина;22.03.2026 13:43;N56.69462° E60.75318°;
107;240 м;301 м;0:00:15;72 км/ч;120.0° истина;22.03.2026 13:43;N56.69365° E60.75591°;
108;239 м;260 м;0:00:13;72 км/ч;130.8° истина;22.03.2026 13:44;N56.69229° E60.76017°;
109;235 м;341 м;0:00:17;72 км/ч;137.5° истина;22.03.2026 13:44;N56.69077° E60.76339°;
110;229 м;339 м;0:00:17;72 км/ч;138.5° истина;22.03.2026 13:44;N56.68851° E60.76716°;
111;227 м;318 м;0:00:16;72 км/ч;144.0° истина;22.03.2026 13:44;N56.68623° E60.77083°;
112;224 м;339 м;0:00:17;72 км/ч;150.6° истина;22.03.2026 13:45;N56.68392° E60.77389°;
113;218 м;362 м;0:00:18;72 км/ч;153.2° истина;22.03.2026 13:45;N56.68126° E60.77661°;
114;214 м;319 м;0:00:16;72 км/ч;153.4° истина;22.03.2026 13:45;N56.67836° E60.77927°;
115;217 м;397 м;0:00:20;71 км/ч;152.9° истина;22.03.2026 13:46;N56.67579° E60.78161°;
116;227 м;377 м;0:00:19;72 км/ч;152.8° истина;22.03.2026 13:46;N56.67262° E60.78456°;
117;231 м;379 м;0:00:19;72 км/ч;153.2° истина;22.03.2026 13:46;N56.66960° E60.78738°;
118;240 м;359 м;0:00:18;72 км/ч;152.9° истина;22.03.2026 13:47;N56.66656° E60.79017°;
119;243 м;339 м;0:00:17;72 км/ч;153.1° истина;22.03.2026 13:47;N56.66369° E60.79285°;
120;246 м;380 м;0:00:19;72 км/ч;152.8° истина;22.03.2026 13:47;N56.66097° E60.79535°;
121;241 м;316 м;0:00:16;71 км/ч;155.4° истина;22.03.2026 13:47;N56.65794° E60.79819°;
122;241 м;318 м;0:00:16;72 км/ч;160.0° истина;22.03.2026 13:48;N56.65536° E60.80034°;
123;239 м;359 м;0:00:18;72 км/ч;162.6° истина;22.03.2026 13:48;N56.65267° E60.80212°;
124;242 м;357 м;0:00:18;71 км/ч;162.6° истина;22.03.2026 13:48;N56.64960° E60.80388°;
125;245 м;359 м;0:00:18;72 км/ч;162.8° истина;22.03.2026 13:49;N56.64654° E60.80562°;
126;246 м;299 м;0:00:15;72 км/ч;164.4° истина;22.03.2026 13:49;N56.64346° E60.80736°;
127;251 м;319 м;0:00:16;72 км/ч;171.7° истина;22.03.2026 13:49;N56.64087° E60.80868°;
128;253 м;319 м;0:00:16;72 км/ч;176.8° истина;22.03.2026 13:49;N56.63804° E60.80943°;
129;253 м;278 м;0:00:14;72 км/ч;170.3° истина;22.03.2026 13:50;N56.63518° E60.80972°;
130;255 м;219 м;0:00:11;72 км/ч;157.7° истина;22.03.2026 13:50;N56.63272° E60.81049°;
131;254 м;220 м;0:00:11;72 км/ч;144.1° истина;22.03.2026 13:50;N56.63090° E60.81185°;
132;256 м;357 м;0:00:18;71 км/ч;141.0° истина;22.03.2026 13:50;N56.62930° E60.81396°;
133;258 м;498 м;0:00:25;72 км/ч;140.7° истина;22.03.2026 13:51;N56.62680° E60.81762°;
134;267 м;599 м;0:00:30;72 км/ч;140.4° истина;22.03.2026 13:51;N56.62334° E60.82277°;
135;276 м;498 м;0:00:25;72 км/ч;142.0° истина;22.03.2026 13:52;N56.61920° E60.82900°;
136;279 м;339 м;0:00:17;72 км/ч;149.3° истина;22.03.2026 13:52;N56.61567° E60.83401°;
137;279 м;279 м;0:00:14;72 км/ч;157.0° истина;22.03.2026 13:52;N56.61305° E60.83685°;
138;282 м;361 м;0:00:18;72 км/ч;162.1° истина;22.03.2026 13:52;N56.61074° E60.83863°;
139;279 м;339 м;0:00:17;72 км/ч;163.5° истина;22.03.2026 13:53;N56.60766° E60.84044°;
140;274 м;459 м;0:00:23;72 км/ч;163.0° истина;22.03.2026 13:53;N56.60474° E60.84201°;
141;267 м;516 м;0:00:26;71 км/ч;163.1° истина;22.03.2026 13:53;N56.60079° E60.84420°;
142;263 м;541 м;0:00:27;72 км/ч;163.1° истина;22.03.2026 13:54;N56.59636° E60.84664°;
143;262 м;339 м;0:00:17;72 км/ч;163.4° истина;22.03.2026 13:54;N56.59171° E60.84921°;
144;260 м;618 м;0:00:31;72 км/ч;163.0° истина;22.03.2026 13:55;N56.58879° E60.85079°;
145;255 м;358 м;0:00:18;72 км/ч;163.1° истина;22.03.2026 13:55;N56.58348° E60.85373°;
146;253 м;360 м;0:00:18;72 км/ч;162.7° истина;22.03.2026 13:55;N56.58041° E60.85543°;
147;248 м;280 м;0:00:14;72 км/ч;163.0° истина;22.03.2026 13:56;N56.57732° E60.85718°;
148;243 м;320 м;0:00:16;72 км/ч;161.5° истина;22.03.2026 13:56;N56.57492° E60.85851°;
149;239 м;338 м;0:00:17;72 км/ч;157.1° истина;22.03.2026 13:56;N56.57219° E60.86017°;
150;233 м;340 м;0:00:17;72 км/ч;152.6° истина;22.03.2026 13:56;N56.56939° E60.86231°;
151;230 м;317 м;0:00:16;71 км/ч;148.8° истина;22.03.2026 13:57;N56.56668° E60.86486°;
152;226 м;279 м;0:00:14;72 км/ч;147.4° истина;22.03.2026 13:57;N56.56425° E60.86755°;
153;225 м;278 м;0:00:14;72 км/ч;144.7° истина;22.03.2026 13:57;N56.56213° E60.87000°;
154;224 м;270 м;0:00:14;70 км/ч;146.9° истина;22.03.2026 13:57;N56.56009° E60.87262°;
155;222 м;51 м;0:00:03;61 км/ч;148.8° истина;22.03.2026 13:58;N56.55806° E60.87503°;
156;222 м;117 м;0:00:07;60 км/ч;177.8° истина;22.03.2026 13:58;N56.55767° E60.87546°;
157;216 м;35 м;0:00:02;63 км/ч;205.7° истина;22.03.2026 13:58;N56.55661° E60.87553°;
158;214 м;241 м;0:00:14;62 км/ч;202.5° истина;22.03.2026 13:58;N56.55633° E60.87528°;
159;211 м;310 м;0:00:18;62 км/ч;196.1° истина;22.03.2026 13:58;N56.55433° E60.87378°;
160;209 м;448 м;0:00:26;62 км/ч;191.3° истина;22.03.2026 13:58;N56.55165° E60.87237°;
161;206 м;378 м;0:00:23;59 км/ч;186.6° истина;22.03.2026 13:59;N56.54770° E60.87094°;
162;207 м;139 м;0:00:11;45 км/ч;194.6° истина;22.03.2026 13:59;N56.54433° E60.87023°;
163;208 м;141 м;0:00:12;42 км/ч;187.4° истина;22.03.2026 13:59;N56.54312° E60.86966°;
164;208 м;132 м;0:00:14;34 км/ч;176.0° истина;22.03.2026 14:00;N56.54187° E60.86937°;
165;207 м;146 м;0:00:14;37 км/ч;176.0° истина;22.03.2026 14:00;N56.54069° E60.86952°;
166;207 м;200 м;0:00:17;42 км/ч;177.5° истина;22.03.2026 14:00;N56.53938° E60.86969°;
167;208 м;224 м;0:00:19;42 км/ч;172.3° истина;22.03.2026 14:00;N56.53758° E60.86983°;
168;208 м;236 м;0:00:20;42 км/ч;171.7° истина;22.03.2026 14:01;N56.53559° E60.87032°;
