Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
4206,7943 m,2.4 km,0:00:09,956 km/h,99.6° true,1/10/2023 0:57,N22° 51.095' W79° 57.720'
4207,8058 m,2.7 km,0:00:10,960 km/h,99.8° true,1/10/2023 0:57,N22° 50.879' W79° 56.341'
4208,8156 m,2.7 km,0:00:10,965 km/h,100.4° true,1/10/2023 0:57,N22° 50.633' W79° 54.804'
4209,8223 m,2.4 km,0:00:09,968 km/h,100.9° true,1/10/2023 0:57,N22° 50.373' W79° 53.262'
4210,8245 m,2.4 km,0:00:09,971 km/h,100.9° true,1/10/2023 0:58,N22° 50.126' W79° 51.872'
4211,8270 m,2.4 km,0:00:09,973 km/h,100.6° true,1/10/2023 0:58,N22° 49.880' W79° 50.478'
4212,8306 m,2.2 km,0:00:08,977 km/h,100.5° true,1/10/2023 0:58,N22° 49.637' W79° 49.080'
4213,8351 m,2.7 km,0:00:10,975 km/h,100.1° true,1/10/2023 0:58,N22° 49.424' W79° 47.831'
4214,8437 m,2.4 km,0:00:09,969 km/h,98.8° true,1/10/2023 0:58,N22° 49.168' W79° 46.272'
4215,8580 m,2.7 km,0:00:10,973 km/h,99.3° true,1/10/2023 0:58,N22° 48.969' W79° 44.873'
4216,8697 m,2.7 km,0:00:10,977 km/h,99.6° true,1/10/2023 0:58,N22° 48.733' W79° 43.314'
4217,8778 m,2.5 km,0:00:09,987 km/h,100.2° true,1/10/2023 0:59,N22° 48.490' W79° 41.748'
4218,8810 m,2.5 km,0:00:09,993 km/h,100.3° true,1/10/2023 0:59,N22° 48.253' W79° 40.328'
4219,8836 m,2.8 km,0:00:10,997 km/h,100.4° true,1/10/2023 0:59,N22° 48.014' W79° 38.900'
4220,8865 m,2.5 km,0:00:09,1001 km/h,100.4° true,1/10/2023 0:59,N22° 47.743' W79° 37.308'
4221,8891 m,3.3 km,0:00:12,1004 km/h,100.2° true,1/10/2023 0:59,N22° 47.499' W79° 35.868'
4222,8937 m,2.5 km,0:00:09,1012 km/h,100.0° true,1/10/2023 0:59,N22° 47.178' W79° 33.942'
